day,asset,selfPrice,avgPrice,pnlPer,pnl
1,bonds,43.845,49.43375,-5.5887500000000045,212.37250000000017
2,bonds,52.629999999999995,62.24,-9.610000000000007,932.1700000000006
3,bonds,42.41,54.505,-12.095000000000006,217.7100000000001
4,bonds,38.145,47.99875,-9.853749999999998,-128.09874999999997
5,bonds,44.115,47.65625,-3.541249999999998,-10.623749999999994
6,bonds,52.17,58.0975,-5.927499999999995,355.6499999999997
7,bonds,45.269999999999996,32.72,12.549999999999997,928.6999999999998
8,bonds,50.03999999999999,45.5325,4.507499999999993,-193.8224999999997
9,bonds,42.8,53.0425,-10.2425,30.7275
10,bonds,57.440000000000005,44.5775,12.862500000000004,-463.0500000000002
11,bonds,45.839999999999996,42.1275,3.7124999999999986,278.4374999999999
12,bonds,63.85999999999999,50.9525,12.907499999999992,-348.50249999999977
13,bonds,64.75,62.8775,1.8725000000000023,-39.32250000000005
14,bonds,62.67,40.1,22.57,-1579.9
15,bonds,58.51,53.5625,4.947499999999998,-84.10749999999996
16,bonds,62.324999999999996,59.63875,2.686249999999994,-136.9987499999997
17,bonds,61.965,44.15125,17.813750000000006,1478.5412500000004
18,bonds,47.644999999999996,49.62125,-1.9762500000000074,77.07375000000029
19,bonds,62.94,53.16,9.780000000000001,-234.72000000000003
20,bonds,42.11,47.6175,-5.5075,-165.22500000000002
21,bonds,50.77,43.405,7.365000000000002,-44.19000000000001
22,bonds,38.775,53.75375,-14.978749999999998,-419.405
23,bonds,55.595000000000006,50.83375,4.761250000000004,-90.46375000000008
24,bonds,64.51,50.095,14.415000000000006,-1455.9150000000006
25,bonds,61.24000000000001,56.8775,4.362500000000011,274.8375000000007
26,bonds,54.995000000000005,55.07625,-0.08124999999999716,-0.7312499999999744
27,bonds,59.894999999999996,47.82125,12.073749999999997,-555.3924999999998
28,bonds,40.225,55.74375,-15.518749999999997,-900.0874999999999
29,bonds,35.285,58.64875,-23.363750000000003,1892.4637500000003
30,bonds,45.96,56.56,-10.600000000000001,-773.8000000000001
1,options,234.3,277.42,-43.120000000000005,1681.6800000000003
2,options,340.38,325.04,15.339999999999975,-168.73999999999972
3,options,307.53,305.345,2.1849999999999454,50.254999999998745
4,options,325.20000000000005,323.395,1.8050000000000637,95.66500000000337
5,options,288.06,288.77,-0.7099999999999795,12.069999999999652
6,options,296.43,286.8875,9.542500000000018,66.79750000000013
7,options,341.46000000000004,336.5775,4.88250000000005,185.5350000000019
8,options,368.88,363.94,4.939999999999998,439.6599999999998
9,options,363.80999999999995,297.665,66.14499999999992,-3836.4099999999958
10,options,354.18,316.365,37.815,-189.075
11,options,246.33,276.7725,-30.442499999999967,-395.7524999999996
12,options,354.63,275.8375,78.79250000000002,-4333.5875000000015
13,options,230.54999999999998,301.635,-71.08500000000001,-8956.710000000001
14,options,255.66,297.7825,-42.12250000000003,-2358.8600000000015
15,options,343.5,299.2525,44.2475,-3495.5525000000002
16,options,389.13,325.56,63.56999999999999,-2288.5199999999995
17,options,307.59000000000003,267.915,39.67500000000001,1309.2750000000003
18,options,357.78000000000003,306.13,51.650000000000034,-4028.7000000000025
19,options,331.5,291.025,40.47500000000002,-688.0750000000004
20,options,266.91,294.88,-27.96999999999997,-2237.5999999999976
21,options,284.58,302.365,-17.785000000000025,-231.20500000000033
22,options,345.24,330.44,14.800000000000011,695.6000000000006
23,options,320.88000000000005,319.915,0.9650000000000318,-56.93500000000188
24,options,238.44,275.815,-37.375,37.375
25,options,327.03000000000003,325.1175,1.9125000000000227,24.862500000000296
26,options,333.36,279.1325,54.22750000000002,976.0950000000004
27,options,211.74,275.055,-63.315,-1772.82
28,options,227.28000000000003,264.0425,-36.76249999999999,919.0624999999998
29,options,245.94,305.55,-59.610000000000014,-774.9300000000002
30,options,374.01,294.47,79.53999999999996,-1113.5599999999995
