day,asset,self_price,average_price,pnl_per,day_pnl
1,Options,267,277.42,-10.42,-531.42
2,Options,381,325.04,55.96,-3357.6
3,Options,261,305.345,-44.35,2128.56
4,Options,309,323.395,-14.39,172.74
5,Options,366,288.77,77.23,1081.22
6,Options,312,286.8875,25.11,-326.46
7,Options,363,336.5775,26.42,-1743.89
8,Options,390,363.94,26.06,990.28
9,Options,210,297.665,-87.66,6837.87
10,Options,396,316.365,79.63,-1513.06
11,Options,207,276.7725,-69.77,-2023.4
12,Options,198,275.8375,-77.84,5526.46
13,Options,372,301.635,70.37,-1970.22
14,Options,285,297.7825,-12.78,741.39
15,Options,306,299.2525,6.75,479.07
16,Options,357,325.56,31.44,1289.04
17,Options,243,267.915,-24.91,1818.79
18,Options,249,306.13,-57.13,1142.6
19,Options,303,291.025,11.98,-862.2
20,Options,378,294.88,83.12,-2826.08
21,Options,330,302.365,27.63,884.32
22,Options,375,330.44,44.56,1960.64
23,Options,240,319.915,-79.92,1038.9
24,Options,237,275.815,-38.81,2212.45
25,Options,390,325.1175,64.88,-5450.13
26,Options,228,279.1325,-51.13,1789.64
27,Options,276,275.055,0.94,-21.73
28,Options,222,264.0425,-42.04,-2648.68
29,Options,321,305.55,15.45,169.95
30,Options,219,294.47,-75.47,3773.5
1,Stocks,138,135.58375,2.42,67.65
2,Stocks,159,151.495,7.5,525.35
3,Stocks,165,142.50875,22.49,337.37
4,Stocks,163.5,145.58375,17.92,-591.24
5,Stocks,115.5,143.115,-27.62,303.77
6,Stocks,132,139.36375,-7.36,-191.46
7,Stocks,108,145.38875,-37.39,1607.72
8,Stocks,106.5,145.98,-39.48,1816.08
9,Stocks,183,149.59125,33.41,300.68
10,Stocks,181.5,155.0425,26.46,-978.93
11,Stocks,103.5,130.65,-27.15,-950.25
12,Stocks,144,133.70625,10.29,617.62
13,Stocks,102,134.6275,-32.63,-619.92
14,Stocks,186,152.26375,33.74,877.14
15,Stocks,174,164.30125,9.7,-290.96
16,Stocks,171,149.215,21.78,-1633.87
17,Stocks,103.5,118.25125,-14.75,649.06
18,Stocks,124.5,150.31375,-25.81,1342.32
19,Stocks,120,133.665,-13.66,683.25
20,Stocks,151.5,142.3325,9.17,-45.84
21,Stocks,142.5,162.5225,-20.02,-760.86
22,Stocks,181.5,153.02375,28.48,-1708.57
23,Stocks,162,151.8225,10.18,71.24
24,Stocks,165,170.5575,-5.56,22.23
25,Stocks,163.5,141.94125,21.56,1271.97
26,Stocks,99,134.1425,-35.14,-948.85
27,Stocks,153,148.35375,4.65,-181.2
28,Stocks,150,147.68625,2.31,71.73
29,Stocks,144,154.095,-10.09,393.7
30,Stocks,108,137.55625,-29.56,-738.91
1,Bonds,58,49.43375,8.57,693.87
2,Bonds,57.5,62.24,-4.74,127.98
3,Bonds,49,54.505,-5.5,49.54
4,Bonds,38,47.99875,-10,-449.94
5,Bonds,45.5,47.65625,-2.16,56.06
6,Bonds,55,58.0975,-3.1,-247.8
7,Bonds,39,32.72,6.28,282.6
8,Bonds,61.5,45.5325,15.97,-654.67
9,Bonds,65,53.0425,11.96,645.7
10,Bonds,57,44.5775,12.42,99.38
11,Bonds,56,42.1275,13.87,-416.18
12,Bonds,65.5,50.9525,14.55,-421.88
13,Bonds,37.5,62.8775,-25.38,1015.1
14,Bonds,42,40.1,1.9,-28.5
15,Bonds,38.5,53.5625,-15.06,60.25
16,Bonds,48,59.63875,-11.64,-151.3
17,Bonds,45,44.15125,0.85,-37.34
18,Bonds,52,49.62125,2.38,38.06
19,Bonds,59,53.16,5.84,402.96
20,Bonds,63,47.6175,15.38,-1092.16
21,Bonds,42.5,43.405,-0.91,-9.96
22,Bonds,56.5,53.75375,2.75,-120.83
23,Bonds,56.5,50.83375,5.67,-345.64
24,Bonds,34,50.095,-16.09,-804.75
25,Bonds,65,56.8775,8.12,-771.64
26,Bonds,57,55.07625,1.92,7.69
27,Bonds,56,47.82125,8.18,188.11
28,Bonds,53,55.74375,-2.74,203.04
29,Bonds,63.5,58.64875,4.85,-4.85
30,Bonds,66,56.56,9.44,-254.88
